session_id,project_id,user_id,proj_name,user_status
1676,117,1763,PSA1_GER_GER_015,guest
1678,117,1765,PSA1_GER_GER_015,guest
1680,73,1767,PSA1_FRE_FRA_004,guest
1681,115,1768,PSA1_GER_GER_012,guest
1683,73,1770,PSA1_FRE_FRA_004,guest
1685,115,1771,PSA1_GER_GER_012,guest
1686,73,1772,PSA1_FRE_FRA_004,guest
1689,57,1776,PSA1_ENG_USA_113,guest
1690,57,1777,PSA1_ENG_USA_113,guest
1696,57,1784,PSA1_ENG_USA_113,guest
1698,73,1786,PSA1_FRE_FRA_004,guest
1706,1,1794,PSA1_ENG_test,guest
1707,1,1794,PSA1_ENG_test,guest
1708,111,1797,PSA1_GER_test,guest
1709,45,1798,PSA1_ENG_USA_031,guest
1712,152,1800,PSA1_ES-PE_test,guest
1720,45,1809,PSA1_ENG_USA_031,guest
1725,57,1817,PSA1_ENG_USA_113,guest
1727,57,1815,PSA1_ENG_USA_113,guest
1728,1,1822,PSA1_ENG_test,guest
1729,57,1823,PSA1_ENG_USA_113,guest
1730,57,1824,PSA1_ENG_USA_113,guest
1731,57,1825,PSA1_ENG_USA_113,guest
1737,57,1830,PSA1_ENG_USA_113,guest
1739,57,1832,PSA1_ENG_USA_113,guest
1742,9,1836,PSA1_ENG_CAN_008,guest
1743,57,1841,PSA1_ENG_USA_113,guest
1744,57,1840,PSA1_ENG_USA_113,guest
1747,57,1838,PSA1_ENG_USA_113,guest
1748,112,1843,PSA1_GER_AUT_001,guest
1749,111,1844,PSA1_GER_test,guest
1752,40,1847,PSA1_ENG_USA_050,guest
1753,40,1848,PSA1_ENG_USA_050,guest
1754,115,1850,PSA1_GER_GER_012,guest
1755,115,1851,PSA1_GER_GER_012,guest
1756,78,1852,PSA1_ITA_ITA_001,guest
1762,114,1863,PSA1_GER_AUT_002,guest
1765,114,1858,PSA1_GER_AUT_002,guest
1770,114,1860,PSA1_GER_AUT_002,guest
1771,114,1864,PSA1_GER_AUT_002,guest
1776,77,1869,PSA1_ITA_ITA_001,guest
